,year,parent_name,cmpy,newid,Ucmpy,score,gvkey
14400,2010,MDU RESOURCES,MDURESOURCES,6864,MDURESOURCES,1,6867
14401,2011,MDU RESOURCES INC,MDURESOURCES,6864,MDURESOURCES,1,6867
14402,2011,MDU RESOURCES,MDURESOURCES,6864,MDURESOURCES,1,6867
14403,2012,MDU RESOURCES,MDURESOURCES,6864,MDURESOURCES,1,6867
14404,2012,MDU RESOURCES INC,MDURESOURCES,6864,MDURESOURCES,1,6867
14405,2013,MDU RESOURCES INC,MDURESOURCES,6864,MDURESOURCES,1,6867
14406,2013,MDU RESOURCES,MDURESOURCES,6864,MDURESOURCES,1,6867
14407,2014,MDU RESOURCES,MDURESOURCES,6864,MDURESOURCES,1,6867
14408,2014,MDU RESOURCES INC,MDURESOURCES,6864,MDURESOURCES,1,6867
14409,1998,MDU RESOURCES GROUP INC,MDURESOURCESGROUP,6865,MDURESOURCES,1,6867
14410,1999,MDU RESOURCES GROUP INC,MDURESOURCESGROUP,6865,MDURESOURCES,1,6867
14411,2000,MDU RESOURCES GROUP INC,MDURESOURCESGROUP,6865,MDURESOURCES,1,6867
14412,2001,MDU RESOURCES GROUP INC,MDURESOURCESGROUP,6865,MDURESOURCES,1,6867
14413,2002,MDU RESOURCES GROUP INC,MDURESOURCESGROUP,6865,MDURESOURCES,1,6867
14414,2003,MDU RESOURCES GROUP INC,MDURESOURCESGROUP,6865,MDURESOURCES,1,6867
14415,2004,MDU RESOURCES GROUP INC,MDURESOURCESGROUP,6865,MDURESOURCES,1,6867
14416,2005,MDU RESOURCES GROUP INC,MDURESOURCESGROUP,6865,MDURESOURCES,1,6867
14417,1987,MEAD CORP,MEAD,6868,MEAD,1,7180
14418,1988,MEAD CORP,MEAD,6868,MEAD,1,7180
14419,1989,MEAD CORP,MEAD,6868,MEAD,1,7180
14420,1990,MEAD CORP,MEAD,6868,MEAD,1,7180
14421,1991,MEAD CORP,MEAD,6868,MEAD,1,7180
14422,1992,MEAD CORP,MEAD,6868,MEAD,1,7180
14423,1993,MEAD CORP,MEAD,6868,MEAD,1,7180
14424,1994,MEAD CORP,MEAD,6868,MEAD,1,7180
14425,1995,MEAD CORP,MEAD,6868,MEAD,1,7180
14426,1996,MEAD CORP,MEAD,6868,MEAD,1,7180
14427,1997,MEAD CORP,MEAD,6868,MEAD,1,7180
14428,2000,MEAD CORP,MEAD,6868,MEAD,1,7180
14429,1991,MEADOWCRAFT,MEADOWCRAFT,6870,MEADOWCRAFT,1,65928
14430,1992,MEADOWCRAFT,MEADOWCRAFT,6870,MEADOWCRAFT,1,65928
14431,1993,MEADOWCRAFT,MEADOWCRAFT,6870,MEADOWCRAFT,1,65928
14432,1994,MEADOWCRAFT,MEADOWCRAFT,6870,MEADOWCRAFT,1,65928
14433,1995,MEADOWCRAFT,MEADOWCRAFT,6870,MEADOWCRAFT,1,65928
14434,1996,MEADOWCRAFT,MEADOWCRAFT,6870,MEADOWCRAFT,1,65928
14435,1997,MEADOWCRAFT,MEADOWCRAFT,6870,MEADOWCRAFT,1,65928
14436,1998,MEADOWCRAFT,MEADOWCRAFT,6870,MEADOWCRAFT,1,65928
14437,1987,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14438,1988,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14439,1989,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14440,1990,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14441,1991,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14442,1992,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14443,1993,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14444,1994,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14445,1995,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14446,1996,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14447,1997,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14448,1998,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14449,1999,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14450,2000,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14451,2001,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14452,2002,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14453,2003,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14454,2004,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14455,2005,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14456,2006,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14457,2007,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14458,2008,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14459,2009,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14460,2010,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14461,2011,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14462,2012,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14463,2013,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14464,2014,MEADWESTVACO CORP,MEADWESTVACO,6871,MEADWESTVACO,1,11446
14465,1987,MECHANICAL TECHNOLOGIES INC,MECHANICALTECH,6874,MECHANICALTECH,1,7183
14466,1988,MECHANICAL TECHNOLOGIES INC,MECHANICALTECH,6874,MECHANICALTECH,1,7183
14467,1987,MEDALIST INDUSTRIES INC,MEDALISTIND,6875,MEDALISTINDS,1,7189
14468,1988,MEDALIST INDUSTRIES INC,MEDALISTIND,6875,MEDALISTINDS,1,7189
14469,1987,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14470,1988,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14471,1989,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14472,1990,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14473,1991,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14474,1992,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14475,1993,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14476,1994,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14477,1995,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14478,1998,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14479,1999,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14480,2000,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14481,2001,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14482,2002,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14483,2003,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14484,2004,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14485,2005,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14486,2006,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14487,2007,MENTOR CORP,MENTOR,6903,MENTOR,1,7250
14488,1987,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14489,1988,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14490,1989,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14491,1990,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14492,1991,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14493,1992,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14494,1993,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14495,1994,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14496,1995,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14497,1996,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14498,1997,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14499,1998,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14500,1999,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14501,2000,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14502,2001,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14503,2002,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14504,2003,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14505,2004,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14506,2005,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14507,2006,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14508,2007,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14509,2008,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14510,2009,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14511,2010,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14512,2011,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14513,2012,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14514,2013,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14515,2014,MERCK & CO INC,MERCK,6912,MERCK,1,7257
14516,1998,MERIDIAN GOLD CO,MERIDIANGOLD,6922,MERIDIANGOLD,1,13401
14517,1999,MERIDIAN GOLD CO,MERIDIANGOLD,6922,MERIDIANGOLD,1,13401
14518,2000,MERIDIAN GOLD CO,MERIDIANGOLD,6922,MERIDIANGOLD,1,13401
14519,2001,MERIDIAN GOLD CO,MERIDIANGOLD,6922,MERIDIANGOLD,1,13401
14520,2002,MERIDIAN GOLD CO,MERIDIANGOLD,6922,MERIDIANGOLD,1,13401
14521,2003,MERIDIAN GOLD CO,MERIDIANGOLD,6922,MERIDIANGOLD,1,13401
14522,1987,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14523,1988,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14524,1989,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14525,1990,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14526,1991,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14527,1992,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14528,1993,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14529,1994,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14530,1995,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14531,1996,MERIDIAN NATL CORP,MERIDIANNAT,6924,MERIDIANNAT,1,12205
14532,1989,MERIDIAN SPORTS INC,MERIDIANSPORTS,6926,MERIDIANSPORTS,1,30773
14533,1990,MERIDIAN SPORTS INC,MERIDIANSPORTS,6926,MERIDIANSPORTS,1,30773
14534,1991,MERIDIAN SPORTS INC,MERIDIANSPORTS,6926,MERIDIANSPORTS,1,30773
14535,1992,MERIDIAN SPORTS INC,MERIDIANSPORTS,6926,MERIDIANSPORTS,1,30773
14536,1993,MERIDIAN SPORTS INC,MERIDIANSPORTS,6926,MERIDIANSPORTS,1,30773
14537,1994,MERIDIAN SPORTS INC,MERIDIANSPORTS,6926,MERIDIANSPORTS,1,30773
14538,1995,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14539,1996,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14540,1997,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14541,1998,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14542,1999,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14543,2000,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14544,2001,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14545,2002,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14546,2003,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14547,2004,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14548,2005,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14549,2006,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14550,2007,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14551,2008,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14552,2009,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14553,2010,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14554,2011,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14555,2012,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14556,2013,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14557,2014,MERITOR INC,MERITOR,6927,MERITOR,1,65399
14558,1995,MERIX CORP,MERIX,6929,MERIX,1,30247
14559,1996,MERIX CORP,MERIX,6929,MERIX,1,30247
14560,1997,MERIX CORP,MERIX,6929,MERIX,1,30247
14561,1998,MERIX CORP,MERIX,6929,MERIX,1,30247
14562,1987,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14563,1988,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14564,1989,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14565,1990,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14566,1990,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14567,1991,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14568,1991,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14569,1992,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14570,1992,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14571,1993,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14572,1993,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14573,1994,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14574,1994,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14575,1995,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14576,1995,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14577,1996,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14578,1996,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14579,1997,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14580,1997,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14581,1998,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14582,1998,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14583,1999,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14584,1999,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14585,2000,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14586,2000,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14587,2001,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14588,2001,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14589,2002,MESTEK INC,MESTEK,6940,MESTEK,1,14064
14590,2002,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14591,2003,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14592,2004,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14593,2005,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14594,2006,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14595,2007,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14596,2008,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14597,2009,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14598,2010,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14599,2011,MESTEK INC (WESTFIELD MA),MESTEK,6940,MESTEK,1,14064
14600,1987,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14601,1987,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14602,1987,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14603,1988,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14604,1988,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14605,1988,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14606,1989,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14607,1989,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14608,1989,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14609,1990,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14610,1990,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14611,1990,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14612,1991,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14613,1991,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14614,1991,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14615,1992,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14616,1992,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14617,1992,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14618,1993,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14619,1993,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14620,1993,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14621,1994,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14622,1994,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14623,1994,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14624,1995,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14625,1995,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14626,1995,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14627,1996,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14628,1996,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14629,1996,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14630,1997,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14631,1997,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14632,1997,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14633,1998,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14634,1998,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14635,1998,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14636,1999,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14637,1999,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14638,1999,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14639,2000,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14640,2000,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14641,2000,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14642,2001,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14643,2001,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14644,2001,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14645,2002,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14646,2002,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14647,2002,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14648,2003,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14649,2003,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14650,2003,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14651,2004,METALDYNE INC,METALDYNE,6951,METALDYNE,1,7086
14652,2004,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14653,2004,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14654,2005,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14655,2005,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14656,2006,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14657,2006,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14658,2007,METALDYNE CORP,METALDYNE,6951,METALDYNE,1,7086
14659,2007,METALDYNE,METALDYNE,6951,METALDYNE,1,7086
14660,2003,METALICO INC,METALICO,6956,METALICO,1,160474
14661,2004,METALICO INC,METALICO,6956,METALICO,1,160474
14662,2005,METALICO INC,METALICO,6956,METALICO,1,160474
14663,2006,METALICO INC,METALICO,6956,METALICO,1,160474
14664,2007,METALICO INC,METALICO,6956,METALICO,1,160474
14665,2008,METALICO INC,METALICO,6956,METALICO,1,160474
14666,2009,METALICO INC,METALICO,6956,METALICO,1,160474
14667,2010,METALICO INC,METALICO,6956,METALICO,1,160474
14668,2011,METALICO INC,METALICO,6956,METALICO,1,160474
14669,2012,METALICO INC,METALICO,6956,METALICO,1,160474
14670,2013,METALICO INC,METALICO,6956,METALICO,1,160474
14671,2014,METALICO INC,METALICO,6956,METALICO,1,160474
14672,1998,METALLURG INC,METALLURG,6960,METALLURG,1,65799
14673,1999,METALLURG INC,METALLURG,6960,METALLURG,1,65799
14674,2000,METALLURG INC,METALLURG,6960,METALLURG,1,65799
14675,2001,METALLURG INC,METALLURG,6960,METALLURG,1,65799
14676,1996,METALS USA INC,METALS,6969,METALS,1,65074
14677,1997,METALS USA INC,METALS,6969,METALS,1,65074
14678,1998,METALS USA INC,METALS,6969,METALS,1,65074
14679,1999,METALS USA INC,METALS,6969,METALS,1,65074
14680,2000,METALS USA INC,METALS,6969,METALS,1,65074
14681,2001,METALS USA INC,METALS,6969,METALS,1,65074
14682,1988,METCALF & EDDY CO INC,METCALFEDDY,6977,METCALFEDDY,1,15158
14683,1989,METCALF & EDDY CO INC,METCALFEDDY,6977,METCALFEDDY,1,15158
14684,1987,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14685,1988,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14686,1989,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14687,1990,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14688,1991,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14689,1992,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14690,1993,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14691,1994,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14692,1995,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14693,1996,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14694,1997,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14695,1998,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14696,1999,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14697,2000,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14698,2001,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14699,2002,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14700,2003,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14701,2004,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14702,2005,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14703,2006,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14704,2007,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14705,2008,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14706,2009,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14707,2010,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14708,2011,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14709,2012,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14710,2013,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14711,2014,METHODE ELECTRONICS INC,METHODEELECTRONICS,6984,METHODEELECTRONICS,1,7291
14712,1988,MET-PRO CORP,METPRO,6986,METPRO,1,7281
14713,1989,MET-PRO CORP,METPRO,6986,METPRO,1,7281
14714,1990,MET-PRO CORP,METPRO,6986,METPRO,1,7281
14715,1991,MET-PRO CORP,METPRO,6986,METPRO,1,7281
14716,1993,METROTRANS CORP,METROTRANS,6995,METROTRANS,1,30307
14717,1994,METROTRANS CORP,METROTRANS,6995,METROTRANS,1,30307
14718,1995,METROTRANS CORP,METROTRANS,6995,METROTRANS,1,30307
14719,1996,METTLER-TOLEDO INC,METTLERTOLEDO,6996,METTLERTOLEDO,1,65772
14720,1997,METTLER-TOLEDO INC,METTLERTOLEDO,6996,METTLERTOLEDO,1,65772
14721,1998,METTLER-TOLEDO INC,METTLERTOLEDO,6996,METTLERTOLEDO,1,65772
14722,1999,METTLER-TOLEDO INC,METTLERTOLEDO,6996,METTLERTOLEDO,1,65772
14723,2000,METTLER-TOLEDO INC,METTLERTOLEDO,6996,METTLERTOLEDO,1,65772
14724,1993,MFRI INC,MFRI,7009,MFRI,1,19431
14725,1994,MFRI INC,MFRI,7009,MFRI,1,19431
14726,1995,MFRI INC,MFRI,7009,MFRI,1,19431
14727,1996,MFRI INC,MFRI,7009,MFRI,1,19431
14728,1997,MFRI INC,MFRI,7009,MFRI,1,19431
14729,1998,MFRI INC,MFRI,7009,MFRI,1,19431
14730,1999,MFRI INC,MFRI,7009,MFRI,1,19431
14731,2000,MFRI INC,MFRI,7009,MFRI,1,19431
14732,2001,MFRI INC,MFRI,7009,MFRI,1,19431
14733,2002,MFRI INC,MFRI,7009,MFRI,1,19431
14734,2003,MFRI INC,MFRI,7009,MFRI,1,19431
14735,2004,MFRI INC,MFRI,7009,MFRI,1,19431
14736,2005,MFRI INC,MFRI,7009,MFRI,1,19431
14737,2006,MFRI INC,MFRI,7009,MFRI,1,19431
14738,2007,MFRI INC,MFRI,7009,MFRI,1,19431
14739,2008,MFRI INC,MFRI,7009,MFRI,1,19431
14740,2009,MFRI INC,MFRI,7009,MFRI,1,19431
14741,2010,MFRI INC,MFRI,7009,MFRI,1,19431
14742,2011,MFRI INC,MFRI,7009,MFRI,1,19431
14743,2012,MFRI INC,MFRI,7009,MFRI,1,19431
14744,2013,MFRI INC,MFRI,7009,MFRI,1,19431
14745,2014,MFRI INC,MFRI,7009,MFRI,1,19431
14746,1998,MGE ENERGY,MGEENERGY,7012,MGEENERGY,1,6932
14747,1999,MGE ENERGY,MGEENERGY,7012,MGEENERGY,1,6932
14748,2000,MGE ENERGY,MGEENERGY,7012,MGEENERGY,1,6932
14749,2001,MGE ENERGY,MGEENERGY,7012,MGEENERGY,1,6932
14750,2002,MGE ENERGY,MGEENERGY,7012,MGEENERGY,1,6932
